component,jtl_article_number
M378B1G73QH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73DB0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
M378B1G73EB0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATAPI ATAPI DVD A DH20A6S-HDD-sata-1GB,DVD-Brenner
9905702-203.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
ATAPI ATAPI DVD A DH16AFSH-HDD-sata-1GB,DVD-Brenner
D3402-A1,MAB-D3401-A11
HL-DT-ST HL-DT-ST DVDRAM GH22NS90-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 C-HDD-sata-1GB,DVD-Brenner
HMT41GU6AFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
RMR5040ME68FAF1600 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-ST DVDROM DH20N-HDD-sata-1GB,DVD-Brenner
HL-DT-ST HL-DT-ST DVDRAM GHA2N-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 B-HDD-sata-1GB,DVD-Brenner
HMA81GU6AFR8N-UH - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-017.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
ATA MicroFrom 512GB SATA3 SSD-SSD-sata-512GB,SSD-512GB-2-5
ATA CT1000MX500SSD1-SSD-sata-1000GB,SSD-1TB-2-5
HL-DT-ST HL-DT-ST DVDRAM GH24NSB0-HDD-sata-1GB,DVD-Brenner
M378A1K43DB2-CTD - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M910-16-512,PC-M900-i5
HL-DT-ST HL-DT-ST DVDRAM GHD0N-HDD-sata-1GB,DVD-Brenner
9905678-065.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-ST DVDRAM GUE0N-HDD-sata-1GB,DVD-Brenner
SHARKBAY,Nicht im WAWI
hp hp DVD-RAM GH82N-HDD-sata-1GB,DVD-Brenner
M93AMZ_32_1T_i7,PC-M93
RMSA3260NA78HAF-2400 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-16GB-DDR4-SODIMM
WLAN,Nicht im WAWI
800G3_16_512_W,PC-HP-800-G3
HL-DT-ST HL-DT-ST DVD-RAM GHC0N-HDD-sata-1GB,DVD-Brenner
9905702-002.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
PLDS PLDS DVD-RW DA8AESH-HDD-sata-1GB,Nicht im WAWI
9905471-074.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
9905471-100.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
9905471-103.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
9905471-064.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
LENOVO_MT_10B4,Nicht im WAWI
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,CPU-i5-4570
M73AMZ_16_512,PC-M73
CT8G4DFS824A.C8FJ - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
hp hp CDDVDW SH-216BB-HDD-sata-1GB,DVD-Brenner
MATSHITA MATSHITA DVD-RAM SW820-HDD-sata-1GB,DVD-Brenner
ATAPI ATAPI iHAS124 E-HDD-sata-1GB,DVD-Brenner
HMA41GU6AFR8N-TF - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4
9905471-097.A00LF - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
hp hp DVD-RAM GHC0N-HDD-sata-1GB,DVD-Brenner
MATSHITA MATSHITA DVD-RAM SW830-HDD-sata-1GB,DVD-Brenner
K66GKY-ETB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
K66GKY-MIN - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,CPU-i5-4590
PLDS PLDS DVD-RW DH16AESH-HDD-sata-1GB,DVD-Brenner
HMA81GS6AFR8N-UH - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
HL-DT-ST HL-DT-ST DVDRAM GHB0N-HDD-sata-1GB,DVD-Brenner
WD PC SN740 SDDPMQD-256G-1101-SSD-nvme-256GB,SSD-M2-256GB
Multi7,PC-Multi_7
ATA Verbatim Vi550 S3-SSD-ata-1024GB,SSD-1TB-2-5
TSSTcorp TSSTcorp CDDVDW SH-224BB-HDD-ata-1GB,DVD-Brenner
M471A1K43CB1-CRC - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
